QUEST_LV_0100_20150317_000001	警戒兵
QUEST_LV_0100_20150317_000002	若想前往柯拉佩達，最好是經由往陰影森林街道走。{nl}森林深處很危險，最好別太過深入。
QUEST_LV_0100_20150317_000003	藏匿中的男子
QUEST_LV_0100_20150317_000004	終.…終於！ 搜救隊來了嗎？{nl}搞什麼！ 只有一個小毛頭啊？ 喂，布貝還在外面嗎？
QUEST_LV_0100_20150317_000005	呃呃.…走開！ 別找我說話！ 會被布貝發現啦！{nl}這裡是我的地盤，你快滾！
QUEST_LV_0100_20150317_000006	什麼？ 別說謊！ 布貝的臭味還是很刺鼻。什麼！{nl}不可以耍大人！ 走開！ 別靠近這木桶的附近！
QUEST_LV_0100_20150317_000007	終.…終於！ 搜救隊來了嗎？{nl}搞什麼！ 只有一個小毛頭啊？ 看什麼？ 蓋上蓋子就給我滾！{nl}
QUEST_LV_0100_20150317_000008	可是你手中的那張紙.…筆跡怎麼這麼眼熟啊? {nl}讓我瞧瞧！ 你幹什麼？ 大人開口了還不快交出來！
QUEST_LV_0100_20150317_000009	這！ 這不是我的嗎？！ 不能再給你了！ {nl}你絕對不需要它，我要全部撕掉！
QUEST_LV_0100_20150317_000010	呿，鬼扯什麼…
QUEST_LV_0100_20150317_000011	這是否就是女神全部失蹤後第一次出現的徵兆呢？{nl}說不定在那些人之中有人能讓女神再次歸來呢？
QUEST_LV_0100_20150317_000012	士兵 布拉克
QUEST_LV_0100_20150317_000013	警告！ {nl}怪物正在襲擊，居民請快逃跑！  {nl}不對，一般居民為什麼會進入軍事區呢？{nl}
QUEST_LV_0100_20150317_000014	啊，啟示者！ 抱歉我沒認出您。{nl}目前怪物正在襲擊整個補給基地。{nl}我想先想辦法搶回重要的糧食.…拜託您幫幫忙！
QUEST_LV_0100_20150317_000015	不久前還風平浪靜，現在卻突然大規模猛攻而來。{nl}到底發生什麼事了呢？
QUEST_LV_0100_20150317_000016	不用你說我本來就很焦慮…{nl}誰知道他們會那樣突然攻擊？
QUEST_LV_0100_20150317_000017	糧食在第1補給倉庫，沿著上面的路走就會看到。{nl}就算是剩下來的也好，請您想想辦法…唉唷，天啊…
QUEST_LV_0100_20150317_000018	我想應該會有所幫助，所以把斯帕勒那絲的來歷記錄下來了。{nl}別看我這樣，我4年前可是學過生物學的。{nl}
QUEST_LV_0100_20150317_000019	請把這報告書交給琉達斯。{nl}他現在應該在中央補給基地。
QUEST_LV_0100_20150317_000020	軍官 琉達斯
QUEST_LV_0100_20150317_000021	哦，你就是那個傳聞中的啟示者啊。很高興見到你。{nl}這是布拉克的報告書嗎？{nl}
QUEST_LV_0100_20150317_000022	嗯.…原來如此。{nl}居然硬要破壞補給品然後逃之夭夭，就算卓柏卡布拉有翅膀應該也不會做到這個地步。{nl}
QUEST_LV_0100_20150317_000023	這樣還不夠。{nl}抱歉，請你也把安奇那蜿蜒路上的穆迪的報告書拿來給我。
QUEST_LV_0100_20150317_000024	看到琉達斯來到這裡我就放心多了。
QUEST_LV_0100_20150317_000025	士兵 約克
QUEST_LV_0100_20150317_000026	夏爾蘭正在胡作非為。{nl}我也很慌張，不知道如何是好。{nl}我想琉達斯絕對不會坐視不管…怎麼辦呢？
QUEST_LV_0100_20150317_000027	只要打倒斯帕勒那絲就能解決問題嗎？
