QUEST_LV_0200_20150317_000001	皮爾力巴斯直屬隊員
QUEST_LV_0200_20150317_000002	怪物的攻物越來越猛烈了。{nl}雖然已經做好了覺悟，但還是很害怕。
QUEST_LV_0200_20150317_000003	如果明天就會死，今天要我獻出生命也在所不惜。
QUEST_LV_0200_20150317_000004	指揮官 巴塞寧
QUEST_LV_0200_20150317_000005	不論如何都要解決劣質的補給和兵力。{nl}果然還是依序突破卡汀森林每個地點比較好嗎？
QUEST_LV_0200_20150317_000006	雖然大家都很辛苦，但直到完全找回卡汀森林的那一刻為止都不能放棄。
QUEST_LV_0200_20150317_000007	上級長官 皮爾力巴斯
QUEST_LV_0200_20150317_000008	我想要和平的世界。{nl}為了這個目標我要更奮發圖強才行。
QUEST_LV_0200_20150317_000009	為了找回被怪物搶走的森林我什麼都能做。{nl}就算要犧牲性命也在所不惜。
QUEST_LV_0200_20150317_000010	我們前方的部隊已變成皮爾力巴斯大人的專屬部隊了。{nl}只要是皮爾力巴斯大人下達的命令，就算是火坑也會跳。
QUEST_LV_0200_20150317_000011	無論何時都是抱持著今天就是最後一天的覺悟活著。{nl}口袋裡隨身攜帶的遺書就是我們的覺悟。
QUEST_LV_0200_20150317_000012	軍官皮爾利克斯
QUEST_LV_0200_20150317_000013	雖然相較之下，卡汀森林入口算是安全的，不過要進入森林深處，我勸你還是打消念頭吧。
QUEST_LV_0200_20150317_000014	脆弱的貓頭鷹雕像
QUEST_LV_0200_20150317_000015	我的力量越來越弱了。{nl}還有很多靈魂要引導呢…
QUEST_LV_0200_20150317_000016	恐懼的貓頭鷹雕像
QUEST_LV_0200_20150317_000017	森林的神聖力量正在減弱。{nl}現在該怎麼辦才好…
QUEST_LV_0200_20150317_000018	好可怕。{nl}女神在的時候根本不會發生這種事…
QUEST_LV_0200_20150317_000019	老實的貓頭鷹隊長
QUEST_LV_0200_20150317_000020	這片森林是會把貓頭鷹抓來吃的可怕森林。{nl}沒有比勇氣更實在的東西了。
