QUEST_LV_0300_20150323_000001	為了支援凱爾利斯騎士團，我便離開總部來到此地。{nl}如果有疑問，請前往位於貝魯克堤廣場的總部詢問。
QUEST_LV_0300_20150323_000001	為了支援凱爾利斯騎士團，我便離開總部來到此地。{nl}如果有疑問，請前往位於貝魯克堤廣場的總部詢問。
QUEST_LV_0300_20150323_000002	我原本是流動商人。{nl}神樹之日過後，這裡似乎最安全，所以我就定居下來了.. 但其實不然。.
QUEST_LV_0300_20150323_000003	我在四處流浪時見過許多啟示者。{nl}我認為.. 啟示者你之所以特別，並不只是因為強大。
QUEST_LV_0300_20150323_000004	我不是想責怪女神與祭司。{nl}但是要我盲從與等待，似乎有點過分。{nl}
QUEST_LV_0300_20150323_000005	村莊裡的封印被封閉了，有什麼了不起的呢？{nl}我覺得祭司是在平白無故地嚇唬人。
QUEST_LV_0300_20150323_000006	祭司們不想讓人知道村莊裡的封印有多重要。{nl}還說犧牲自己就行了。
QUEST_LV_0300_20150323_000007	希望祭司們能對村民坦白一點。{nl}這樣下去萬一真的發生大事的話..
QUEST_LV_0300_20150323_000008	邪惡的氣息讓森林腐朽，並將其變成生命無法生存之地。{nl}那也是我們村莊最大的問題之一。
QUEST_LV_0300_20150323_000009	女神啊..{nl}村莊的封印真的沒事嗎..
QUEST_LV_0300_20150323_000010	對封印虎視眈眈的魔族將來也會不斷來犯吧。{nl}奧斯特亞女神不在這裡，不知道我們能撐到什麼時候..
QUEST_LV_0300_20150323_000011	只讓祭司解決事情這一點，我們也有很大的錯。{nl}從現在起，我打算把所有真相告訴村民，慢慢地和他們討論。
QUEST_LV_0300_20150717_000012	探測器運轉維護(1)
QUEST_LV_0300_20150717_000013	魔族、女神，以及石化城(1)
QUEST_LV_0300_20150717_000014	探測器運轉維護(2)
QUEST_LV_0300_20150717_000015	魔族、女神，以及石化城(2)
QUEST_LV_0300_20150717_000016	探測器運轉維護(3)
QUEST_LV_0300_20150717_000017	探測器運轉維護(4)
QUEST_LV_0300_20150717_000018	有關超度靈魂
QUEST_LV_0300_20150717_000019	探測器維修中
QUEST_LV_0300_20150717_000020	維修中/MAKING/3/TRACK_AFTER/None
QUEST_LV_0300_20150717_000021	探測器運轉維護(5)
QUEST_LV_0300_20150717_000022	維修中/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000023	Notice/！/零件沒固定好{nl}需要繩子之類的東西！#5
QUEST_LV_0300_20150717_000024	Notice/！/必須取得繩子#5
QUEST_LV_0300_20150717_000025	為了超度靈魂
QUEST_LV_0300_20150717_000026	告訴它現在可以放心了
QUEST_LV_0300_20150717_000027	檢查裝置中/LOOK/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000028	Notice/！/觸動裝置後靈魂好像跑出去了！{nl}力量正逐漸流失！
QUEST_LV_0300_20150717_000029	Notice/現在似乎能打起精神了#5
QUEST_LV_0300_20150717_000030	只期盼一件事(1)
QUEST_LV_0300_20150717_000031	關於期盼死亡的原因
QUEST_LV_0300_20150717_000032	只期盼一件事(3)
QUEST_LV_0300_20150717_000033	只期盼一件事(2)
QUEST_LV_0300_20150717_000034	我要去找牧師大師
QUEST_LV_0300_20150717_000035	現在無法協助
QUEST_LV_0300_20150717_000036	破壞終端機(1)
QUEST_LV_0300_20150717_000037	關於本體與終端機
QUEST_LV_0300_20150717_000038	Notice/！/請閃避怪物的攻擊並破壞終端機！#5
QUEST_LV_0300_20150717_000039	破壞終端機(2)
QUEST_LV_0300_20150717_000040	加入炸藥粉末點火中/FIRE/2/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000041	Notice/終端機爆炸的同時消失了！#5
QUEST_LV_0300_20150717_000042	破壞終端機(3)
QUEST_LV_0300_20150717_000043	永恆的安息(1)
QUEST_LV_0300_20150717_000044	如果最後有話想說
QUEST_LV_0300_20150717_000045	永恆的安息(2)
QUEST_LV_0300_20150717_000046	設置權杖中/MAKING/3/TRACK_BEFORE/None
QUEST_LV_0300_20150717_000047	永恆的安息(3)
QUEST_LV_0300_20150717_000048	問候
QUEST_LV_0300_20150717_000049	Notice/希特利卡伊拉的心願似乎實現了#5
QUEST_LV_0300_20150717_000050	探測器運轉維護
QUEST_LV_0300_20150717_000051	與奎波爾梅爾萊對話
QUEST_LV_0300_20150717_000052	與從石化霜中救出的奎波爾對話。
QUEST_LV_0300_20150717_000053	觀察石化探測器
QUEST_LV_0300_20150717_000054	為了讓奎波爾梅爾萊能夠從石化霜中安全地引導靈魂，請前往尚未去過的地方檢查探測器。
QUEST_LV_0300_20150717_000055	回去找奎波爾梅爾萊
QUEST_LV_0300_20150717_000056	除了位於入口的探測器，4個探測器全都檢查好了。請馬上回去把狀況告訴奎波爾梅爾萊。
QUEST_LV_0300_20150717_000057	為了讓故障的探測器再次運轉，有話要傳達。請再次與奎波爾梅爾萊對話。
QUEST_LV_0300_20150717_000058	與王國軍蕾堤亞見面
QUEST_LV_0300_20150717_000059	設置石化探測器的是王國軍的奎波爾，請聽從他的指示，去見貝魯克堤廣場的王國軍將校蕾堤亞。
QUEST_LV_0300_20150717_000060	請與王國軍蕾堤亞談論有關沿岸要塞未運轉的石化探測器的話題。
QUEST_LV_0300_20150717_000061	取得石化探測器零件
QUEST_LV_0300_20150717_000062	聽從王國軍蕾堤亞的指示，去找被派到沿岸要塞的士兵。萬一他們遭逢不測，必須從屍體中取得零件，或是獵捕其周圍的怪物。
QUEST_LV_0300_20150717_000063	與奎波爾梅爾萊見面
QUEST_LV_0300_20150717_000064	王國軍的士兵雖然遭逢事變，但已平安地取得所有零件。在前去修理石化探測器之前，請把這件事告訴奎波爾。
QUEST_LV_0300_20150717_000065	在前去修理石化探測器之前，請與奎波爾梅爾萊針對此狀況進行談論。
QUEST_LV_0300_20150717_000066	維修石化探測器
QUEST_LV_0300_20150717_000067	請修復第一個不運轉的石化探測器。
QUEST_LV_0300_20150717_000068	正想修理石化探測器時怪物猛撲而來，已將那些怪物全數殲滅。現在應該能放心修理石化探測器了。
QUEST_LV_0300_20150717_000069	修復第三個石化探測器
QUEST_LV_0300_20150717_000070	請馬上去修復第三個石化探測器。
QUEST_LV_0300_20150717_000071	取得用來固定的繩子
QUEST_LV_0300_20150717_000072	似乎需要找繩子來固定探測器的零件。請向怪物取得。
QUEST_LV_0300_20150717_000073	已取得所有能用來固定的繩子。請馬上修復第三個石化探測器。
QUEST_LV_0300_20150717_000074	獵捕怪物並取得%s
QUEST_LV_0300_20150717_000075	獵捕怪物並取得細繩
QUEST_LV_0300_20150717_000076	已修復所有的石化探測器。請把這件事告訴奎波爾梅爾萊。
QUEST_LV_0300_20150717_000077	觀察可疑的裝置
QUEST_LV_0300_20150717_000078	如果靠近不明的裝置，會有被某種東西牽引的感覺，然後就不自覺地走到裝置前面。這個裝置到底是什麼來頭？ 是不是摸摸看就知道了呢？
QUEST_LV_0300_20150717_000079	去找希特利卡伊拉
QUEST_LV_0300_20150717_000080	也許是因為靈魂跑掉的關係，力量好像逐漸流失了。請去找人解決這種情況。
QUEST_LV_0300_20150717_000081	只期盼一件事
QUEST_LV_0300_20150717_000082	與希特利卡伊拉對話
QUEST_LV_0300_20150717_000083	不管怎樣，似乎得聽聽希特利卡伊拉的情由。
QUEST_LV_0300_20150717_000084	取得毒草
QUEST_LV_0300_20150717_000085	希特利卡伊拉說因為你是啟示者，由你來幫他走向死亡之路應該也不錯，而且還要你幫忙取得毒草。請前往他所說的地方把毒草帶過來。
