UI_20150317_000001	{@st41b}可以跟各職業大師{nl}學習特性。{/}
UI_20150317_000002	{@st43}特性清單{/}
UI_20150317_000003	{@st59}關閉特性清單。{/}
UI_20150317_000004	{@st43}學習特性{/}
UI_20150317_000005	{@st59}關閉特性視窗。{/}
UI_20150317_000006	{@st41b}所持金錢{/}
UI_20150317_000007	我的成就
UI_20150317_000008	伺服器排名
UI_20150317_000009	{@st59}有突發活動。{/}
UI_20150317_000010	{@st59}有小幫手喔！{/}
UI_20150317_000011	{@st41}您要製作什麼種類的箭矢？{/}
UI_20150317_000012	{@st41b}僅一次{/}
UI_20150317_000013	{@st41b}全部{/}
UI_20150317_000014	{@st41b}中斷{/}
UI_20150317_000015	{@st43}冒險日誌{/}
UI_20150317_000016	{@st43}拍賣場{/}
UI_20150317_000017	{@st59}關閉拍賣場。{/}
UI_20150317_000018	{memo X}{@st41b}得標物品：%s個,  流標物品：%s個{/}
UI_20150317_000019	{@st43}{s22}拍賣道具{/}
UI_20150317_000020	{@st59}關閉任務情報。{/}
UI_20150317_000021	Availest
UI_20150317_000022	{@st41b}剩餘時間
UI_20150317_000023	3小時 16分
UI_20150317_000024	{@st41b}起標價格
UI_20150317_000025	{@st41b}投標數量
UI_20150317_000026	{@st41b}目前價格
UI_20150317_000027	{@st41b}投標金額
UI_20150317_000028	{@st41b}最低可投標金額為{@st57}%s {@st41b}銀幣{/}
UI_20150317_000029	{@st41b}投標{/}
UI_20150317_000030	{@st43b}立即購買！{nl}{img icon_item_silver 20 20}{@st57}%s{/}
UI_20150317_000031	{@st44}設定權限{/}
UI_20150317_000032	{@st45}名稱：%s{/}
UI_20150317_000033	{@st45}隊伍倉庫{/}
UI_20150317_000034	{@st49}無
UI_20150317_000035	{@st49}放入
UI_20150317_000036	{@st49}取出
UI_20150317_000037	{@st45}問卷{/}
UI_20150317_000038	{@st49}撰寫
UI_20150317_000039	{@st49}刪除
UI_20150317_000040	{@st44}儲存{/}
UI_20150317_000041	{@st44}取消{/}
UI_20150317_000042	{@st43}{s22}造型屋{/}
UI_20150317_000043	{@st59}上一個髮型{/}
UI_20150317_000044	{@st59}下一個髮型{/}
UI_20150317_000045	{@st41b}變更{s18}(需要TP 100){/}
UI_20150317_000046	{@st59}變更為您選擇的髮型。{/}
